Date,Close,Volume,Name
2012-02-28,38.380001,9461900.0,Healthcare-Merck
2012-02-29,38.169998,15240000.0,Healthcare-Merck
2012-03-01,37.790001,18053500.0,Healthcare-Merck
2012-03-02,37.93,13050400.0,Healthcare-Merck
2012-03-05,38.450001,18663100.0,Healthcare-Merck
2012-03-06,37.439999,18595300.0,Healthcare-Merck
2012-03-07,37.310001,16870000.0,Healthcare-Merck
2012-03-08,37.400002,40922000.0,Healthcare-Merck
2012-03-09,37.599998,44521000.0,Healthcare-Merck
2012-03-12,38.099998,10873400.0,Healthcare-Merck
2012-03-13,38.279999,15002600.0,Healthcare-Merck
2012-03-14,38.220001,11758000.0,Healthcare-Merck
2012-03-15,38.060001,12246000.0,Healthcare-Merck
2012-03-16,38.029999,18555500.0,Healthcare-Merck
2012-03-19,37.889999,9747400.0,Healthcare-Merck
2012-03-20,37.759998,13851000.0,Healthcare-Merck
2012-03-21,37.700001,11497000.0,Healthcare-Merck
2012-03-22,37.599998,12991500.0,Healthcare-Merck
2012-03-23,38.009998,10766500.0,Healthcare-Merck
2012-03-26,38.66,12000700.0,Healthcare-Merck
2012-03-27,38.799999,12689500.0,Healthcare-Merck
2012-03-28,38.310001,16284800.0,Healthcare-Merck
2012-03-29,38.009998,17588200.0,Healthcare-Merck
2012-03-30,38.400002,14116700.0,Healthcare-Merck
2012-04-02,38.509998,11440900.0,Healthcare-Merck
2012-04-03,38.720001,10948100.0,Healthcare-Merck
2012-04-04,38.900002,15210800.0,Healthcare-Merck
2012-04-05,38.880001,13880800.0,Healthcare-Merck
2012-04-09,38.73,11724300.0,Healthcare-Merck
2012-04-10,38.450001,13984100.0,Healthcare-Merck
2012-04-11,38.48,10710600.0,Healthcare-Merck
2012-04-12,38.27,12806400.0,Healthcare-Merck
2012-04-13,37.779999,20858100.0,Healthcare-Merck
2012-04-16,37.950001,13938100.0,Healthcare-Merck
2012-04-17,38.509998,11200400.0,Healthcare-Merck
2012-04-18,38.400002,7665400.0,Healthcare-Merck
2012-04-19,38.360001,10740800.0,Healthcare-Merck
2012-04-20,38.73,14877200.0,Healthcare-Merck
2012-04-23,38.27,10671300.0,Healthcare-Merck
2012-04-24,38.27,12485400.0,Healthcare-Merck
2012-04-25,38.43,12840700.0,Healthcare-Merck
